title,review_n,review,review_date,likes_n,title_category
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,실전과 연계되는 세심한 강의여서 좋았어요~♡,2021. 5. 20.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,알지만 복잡했던 부분들을 정리해줘서 좋았습니다,2021. 5. 19.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,디테일하게 수공예 사업에 대한 전반적인 이론을 알려주시는 점이 좋습니다,2021. 5. 11.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,기초적인거부터 차근차근 알려주셔서 좋았어요,2021. 5. 9.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,구체적인 정보를 꼼꼼히 알려주셔서 도움되요,2021. 4. 19.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,구체적으로 정리가 되서 계획에 많은 정리가 됩니다,2021. 4. 18.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,몰랐던 부분이 많았는데 알게되어 좋습니다,2021. 4. 13.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,하나하나 차근차근 알려주셔서 감사합니다!,2021. 4. 13.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,최대한 상세히 알려주시려는 마음이 느껴집니다~~!,2021. 4. 12.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,정말 상세히 작업하셨네요 ^^ 감동입니다,2021. 4. 10.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,실질적인 정보라기보단 이론적인 내용구성이네요,2021. 4. 9.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,수공예 창업 실무에 필요한 내용들을 잘정리해주셨습니다!,2021. 4. 8.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,초보도 쉽게 이해할수 있도록 세심한 강의 감사합니다,2021. 4. 6.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,순서대로 차근차근 알려주셔서 좋은것 같아요:),2021. 4. 2.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,시작도 안한 저같은 초보자에게 아주 유익합니다,2021. 4. 1.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,도움이 될만한 실질적인 정보를 알기 쉽게 설명해주셔서 듣기 편합니다^^,2021. 3. 31.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,이론이 탄탄해서 첫 창업에 소중한 가이드가 될거 같아요,2021. 3. 26.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,떠도는 생각들이 정리가 잘 안되고 있었는데 제대로 정리가 되는것 같아요,2021. 3. 25.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,예시가 구체적이고 진행 방법이 체계적이어서 좋았어요~:),2021. 3. 25.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,기본적인 내용들을 꼼꼼하고 체계적으로 정리해주신 느낌이에요.,2021. 3. 25.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,너무 뻔한내용에 추상적인 내용이 대부분이에요,2021. 3. 24.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,실무적이라기보다 너무 이론적인이야기가 주조네요.,2021. 3. 24.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,수공예품 판매에 대해 알게해주네요,2021. 4. 14.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,실전에 도움되는 내용이 많아요~,2021. 4. 8.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,탄탄한 이론과 실전연습의 병행,2021. 4. 8.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,천천히 하나씩 배워갈게요,2021. 4. 3.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,구체적인 내용들이 도움 되었어요,2021. 4. 3.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,차근차근 진행되네요,2021. 3. 26.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,강의자료가 깔끔하고 설명이 명쾌해요,2021. 3. 26.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,♡,2021. 3. 24.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,수공예창업에 도움이 되요~!!,2021. 3. 24.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,좋아요!,2021. 5. 18.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,좋아요!,2021. 5. 17.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,좋아요!,2021. 5. 16.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,좋아요!,2021. 5. 16.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,좋아요!,2021. 5. 12.,1925,금속
"[??오늘 종료] 행복한 취미로 월 200만원 버는 방법, 수공예 투잡 도전하기",194,좋아요!,2021. 5. 12.,1925,금속
